Calendario de Fertilización para Goteo 2 Veces Por Semana,Calendario de Fertilización para Goteo 2 Veces Por Semana_1,Calendario de Fertilización para Goteo 2 Veces Por Semana_2,Calendario de Fertilización para Goteo 2 Veces Por Semana_3,Calendario de Fertilización para Goteo 2 Veces Por Semana_4,Calendario de Fertilización para Goteo 2 Veces Por Semana_5,Calendario de Fertilización para Goteo 2 Veces Por Semana_6,Calendario de Fertilización para Goteo 2 Veces Por Semana_7,Calendario de Fertilización para Goteo 2 Veces Por Semana_8,Calendario de Fertilización para Goteo 2 Veces Por Semana_9,Calendario de Fertilización para Goteo 2 Veces Por Semana_10,Calendario de Fertilización para Goteo 2 Veces Por Semana_11,Calendario de Fertilización para Goteo 2 Veces Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19
29,199,37987,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
30,206,37994,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,OJO
31,213,38001,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
32,220,38008,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
33,227,38015,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
34,234,38022,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
35,241,38029,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
36,248,38036,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
37,255,38043,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
38,262,38050,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
39,269,38057,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
40,276,38064,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
41,283,38071,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
42,290,38078,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
43,297,38085,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
44,304,38092,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
45,311,38099,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
46,318,38106,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
47,325,38113,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
48,332,38120,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
49,339,38127,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
50,346,38134,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
51,353,38141,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
52,360,38148,,1.0930121874456558,,8.331262888268732,,33.5881174903348,,26.946733237281073,,44.435362713707875,,475.20575053170734,,20.019999999999996,,612.6375644264131,
